"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2011","2011",,,"0","Units",,,45.53263,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2012","2012",,,"0","Units",,,45.69941,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2013","2013",,,"0","Units",,,45.8777,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2014","2014",,,"0","Units",,,45.99796,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2015","2015",,,"0","Units",,,46.22692,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2016","2016",,,"0","Units",,,46.51851,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2017","2017",,,"0","Units",,,46.71185,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2018","2018",,,"0","Units",,,46.90958,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2005","2005",,,"0","Units",,,5443.297,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2006","2006",,,"0","Units",,,5559.523,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2007","2007",,,"0","Units",,,5732.45,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2008","2008",,,"0","Units",,,5880.447,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2009","2009",,,"0","Units",,,5879.186,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2010","2010",,,"0","Units",,,6021.409,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2011","2011",,,"0","Units",,,6107.871,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2012","2012",,,"0","Units",,,6163.553,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2013","2013",,,"0","Units",,,6200.635,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2014","2014",,,"0","Units",,,6231.923,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2015","2015",,,"0","Units",,,6327.085,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2016","2016",,,"0","Units",,,6403.385,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2017","2017",,,"0","Units",,,6528.848,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2018","2018",,,"0","Units",,,6680.72,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2005","2005",,,"0","Units",,,55.09057,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2006","2006",,,"0","Units",,,54.91306,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2007","2007",,,"0","Units",,,54.93868,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2008","2008",,,"0","Units",,,54.79781,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2009","2009",,,"0","Units",,,54.40881,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2010","2010",,,"0","Units",,,54.62962,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2011","2011",,,"0","Units",,,54.46737,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2012","2012",,,"0","Units",,,54.30059,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2013","2013",,,"0","Units",,,54.1223,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2014","2014",,,"0","Units",,,54.00204,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2015","2015",,,"0","Units",,,53.77308,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2016","2016",,,"0","Units",,,53.48149,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2017","2017",,,"0","Units",,,53.28815,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2018","2018",,,"0","Units",,,53.09042,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2005","2005",,,"0","Units",,,352.725,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2006","2006",,,"0","Units",,,344.181,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2007","2007",,,"0","Units",,,345.593,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2008","2008",,,"0","Units",,,344.739,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2009","2009",,,"0","Units",,,348.493,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2010","2010",,,"0","Units",,,355.062,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2011","2011",,,"0","Units",,,315.192,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2012","2012",,,"0","Units",,,317.115,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2013","2013",,,"0","Units",,,299.287,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2014","2014",,,"0","Units",,,323.266,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2015","2015",,,"0","Units",,,311.009,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2016","2016",,,"0","Units",,,313.969,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2017","2017",,,"0","Units",,,318.389,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2018","2018",,,"0","Units",,,329.66,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2005","2005",,,"0","Units",,,3.569862,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2006","2006",,,"0","Units",,,3.399578,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2007","2007",,,"0","Units",,,3.312096,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2008","2008",,,"0","Units",,,3.212502,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2009","2009",,,"0","Units",,,3.225122,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2010","2010",,,"0","Units",,,3.221323,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2011","2011",,,"0","Units",,,2.810747,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2012","2012",,,"0","Units",,,2.793767,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2013","2013",,,"0","Units",,,2.612329,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2014","2014",,,"0","Units",,,2.801226,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2015","2015",,,"0","Units",,,2.643225,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2016","2016",,,"0","Units",,,2.62229,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2017","2017",,,"0","Units",,,2.598676,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2018","2018",,,"0","Units",,,2.619746,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2005","2005",,,"0","Units",,,2147.597,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2006","2006",,,"0","Units",,,2219.156,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2007","2007",,,"0","Units",,,2279.952,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2008","2008",,,"0","Units",,,2395.745,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2009","2009",,,"0","Units",,,2352.949,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2010","2010",,,"0","Units",,,2388.859,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2011","2011",,,"0","Units",,,2406.898,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2012","2012",,,"0","Units",,,2430.992,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2013","2013",,,"0","Units",,,2410.082,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2014","2014",,,"0","Units",,,2422.363,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2015","2015",,,"0","Units",,,2365.772,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2016","2016",,,"0","Units",,,2395.378,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2017","2017",,,"0","Units",,,2456.136,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2018","2018",,,"0","Units",,,2572.663,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2005","2005",,,"0","Units",,,21.73542,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2006","2006",,,"0","Units",,,21.91926,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2007","2007",,,"0","Units",,,21.85062,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2008","2008",,,"0","Units",,,22.32511,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2009","2009",,,"0","Units",,,21.77532,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2010","2010",,,"0","Units",,,21.67307,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2011","2011",,,"0","Units",,,21.46368,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2012","2012",,,"0","Units",,,21.41692,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2013","2013",,,"0","Units",,,21.03642,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2014","2014",,,"0","Units",,,20.99072,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2015","2015",,,"0","Units",,,20.10639,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2016","2016",,,"0","Units",,,20.00635,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2017","2017",,,"0","Units",,,20.04687,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2018","2018",,,"0","Units",,,20.44447,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2005","2005",,,"0","Units",,,7380.312,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2006","2006",,,"0","Units",,,7560.891,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2007","2007",,,"0","Units",,,7808.724,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2008","2008",,,"0","Units",,,7990.686,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2009","2009",,,"0","Units",,,8104.134,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2010","2010",,,"0","Units",,,8278.322,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2011","2011",,,"0","Units",,,8491.727,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2012","2012",,,"0","Units",,,8602.695,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2013","2013",,,"0","Units",,,8747.34,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2014","2014",,,"0","Units",,,8794.532,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2015","2015",,,"0","Units",,,9089.487,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2016","2016",,,"0","Units",,,9263.739,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2017","2017",,,"0","Units",,,9477.444,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2018","2018",,,"0","Units",,,9681.34,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2005","2005",,,"0","Units",,,74.69472,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2006","2006",,,"0","Units",,,74.68116,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2007","2007",,,"0","Units",,,74.83729,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2008","2008",,,"0","Units",,,74.46239,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2009","2009",,,"0","Units",,,74.99956,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2010","2010",,,"0","Units",,,75.10561,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2011","2011",,,"0","Units",,,75.72557,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2012","2012",,,"0","Units",,,75.78931,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2013","2013",,,"0","Units",,,76.35124,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2014","2014",,,"0","Units",,,76.20805,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2015","2015",,,"0","Units",,,77.25038,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2016","2016",,,"0","Units",,,77.37136,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2017","2017",,,"0","Units",,,77.35445,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2018","2018",,,"0","Units",,,76.93578,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2005","2005",,,"0","Units",,,523.5905,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2006","2006",,,"0","Units",,,508.4875,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2007","2007",,,"0","Units",,,477.6078,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2008","2008",,,"0","Units",,,474.4643,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2009","2009",,,"0","Units",,,636.2413,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2010","2010",,,"0","Units",,,605.9849,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2011","2011",,,"0","Units",,,600.2853,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2012","2012",,,"0","Units",,,625.5963,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2013","2013",,,"0","Units",,,687.6083,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2014","2014",,,"0","Units",,,746.6392,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2015","2015",,,"0","Units",,,758.2614,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2016","2016",,,"0","Units",,,725.0511,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2017","2017",,,"0","Units",,,725.5882,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2018","2018",,,"0","Units",,,704.0359,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2005","2005",,,"0","Units",,,5.033881,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2006","2006",,,"0","Units",,,4.78524,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2007","2007",,,"0","Units",,,4.379151,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2008","2008",,,"0","Units",,,4.23433,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2009","2009",,,"0","Units",,,5.560385,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2010","2010",,,"0","Units",,,5.21334,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2011","2011",,,"0","Units",,,5.081195,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2012","2012",,,"0","Units",,,5.223376,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2013","2013",,,"0","Units",,,5.66194,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2014","2014",,,"0","Units",,,6.077244,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2015","2015",,,"0","Units",,,6.056423,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2016","2016",,,"0","Units",,,5.710301,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2017","2017",,,"0","Units",,,5.593735,,
"AUS","Australia","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2018","2018",,,"0","Units",,,5.299966,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,3970.875,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4037.65,"B","Break"
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4123.925,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4166.05,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,4205.125,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,4220.075,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4246.225,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4293.375,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4336.05,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4357.575,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4400.1,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4490.25,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4508.325,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,4539.075,,
"AUT","Austria","YGFE07L1_ST","Labour force females","A","Annual","2005","2005",,,"0","Units",,,1807.175,,
"AUT","Austria","YGFE07L1_ST","Labour force females","A","Annual","2006","2006",,,"0","Units",,,1844.3,"B","Break"
"AUT","Austria","YGFE07L1_ST","Labour force females","A","Annual","2007","2007",,,"0","Units",,,1885.45,,
