"LOCATION","Country","FAMILY","Family type","HBTOPUPS","Include housing benefits","TYPE","Type of indicator","TIME","Year","Value","Flag Codes","Flags"
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2002","2002",6783,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2003","2003",6786,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2004","2004",6922,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2005","2005",7118,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2006","2006",7131,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2007","2007",7279,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2008","2008",7435,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2009","2009",7794,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2010","2010",8070,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2011","2011",8081,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2012","2012",8186,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2013","2013",8283,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2014","2014",8545,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2015","2015",8914,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2016","2016",9225,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2017","2017",9541,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2018","2018",9727,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2001","2001",25,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2002","2002",24,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2003","2003",24,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2004","2004",23,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2005","2005",23,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2006","2006",22,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2007","2007",22,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2008","2008",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2009","2009",22,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2010","2010",22,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2011","2011",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2012","2012",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2013","2013",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2014","2014",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2015","2015",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2016","2016",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2017","2017",21,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2018","2018",21,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2001","2001",49200,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2002","2002",49200,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2003","2003",49200,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2004","2004",49200,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2005","2005",51600,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2006","2006",53040,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2007","2007",37512,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2008","2008",26606,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2009","2009",34394,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2010","2010",43910,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2011","2011",47102,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2012","2012",48224,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2013","2013",48098,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2014","2014",49848,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2015","2015",51849,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2016","2016",54666,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2017","2017",57588,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2018","2018",58860,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2019","2019",63492,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2001","2001",36,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2002","2002",36,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2003","2003",34,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2004","2004",33,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2005","2005",32,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2006","2006",30,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2007","2007",19,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2008","2008",13,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2009","2009",16,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2010","2010",20,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2011","2011",22,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2012","2012",22,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2013","2013",21,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2014","2014",22,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2015","2015",21,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2016","2016",21,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2017","2017",21,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2018","2018",21,,
"CZE","Czech Republic","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2019","2019",22,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2001","2001",103438,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2002","2002",107258,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2003","2003",111325,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2004","2004",113383,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2005","2005",115111,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2006","2006",118251,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2007","2007",122706,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2008","2008",127025,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2009","2009",131130,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2010","2010",136628,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2011","2011",139538,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2012","2012",141650,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2013","2013",142413,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2014","2014",144374,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2015","2015",146445,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2016","2016",146957,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2017","2017",149126,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2018","2018",151541,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2019","2019",153159,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2001","2001",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2002","2002",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2003","2003",62,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2004","2004",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2005","2005",60,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2006","2006",60,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2007","2007",60,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2008","2008",59,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2009","2009",60,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2010","2010",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2011","2011",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2012","2012",62,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2013","2013",62,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2014","2014",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2015","2015",62,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2016","2016",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2017","2017",61,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2018","2018",62,,
"DNK","Denmark","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2019","2019",62,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2001","2001",56204,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2002","2002",9809,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2003","2003",10009,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2004","2004",10244,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2005","2005",10346,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2006","2006",10396,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2007","2007",10912,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2008","2008",11509,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2009","2009",11729,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2010","2010",12209,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2011","2011",12469,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2012","2012",13333,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2013","2013",13527,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2014","2014",13562,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2015","2015",13926,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2016","2016",13926,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2017","2017",13955,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2018","2018",13995,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2019","2019",14295,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2001","2001",56,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2002","2002",56,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2003","2003",55,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2004","2004",54,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2005","2005",52,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2006","2006",51,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2007","2007",50,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2008","2008",50,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2009","2009",50,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2010","2010",51,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2011","2011",51,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2012","2012",53,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2013","2013",53,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2014","2014",53,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2015","2015",54,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2016","2016",54,,
"FIN","Finland","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2017","2017",53,,
