"IND","Indicator","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BTE","Barriers to entrepreneurship","CZE","Czech Republic","2003","2003",2.1938436,,
"BTE","Barriers to entrepreneurship","CZE","Czech Republic","2008","2008",1.9020607,,
"BTE","Barriers to entrepreneurship","CZE","Czech Republic","2013","2013",1.8189734,,
"BTI","Barriers to trade and investment","CZE","Czech Republic","1998","1998",1.8691177,,
"BTI","Barriers to trade and investment","CZE","Czech Republic","2003","2003",0.85408354,,
"BTI","Barriers to trade and investment","CZE","Czech Republic","2008","2008",0.47908357,,
"BTI","Barriers to trade and investment","CZE","Czech Republic","2013","2013",0.41547728,,
"PMR","Product market regulation","DNK","Denmark","1998","1998",1.6623971,,
"PMR","Product market regulation","DNK","Denmark","2003","2003",1.4780207,,
"PMR","Product market regulation","DNK","Denmark","2008","2008",1.3358412,,
"PMR","Product market regulation","DNK","Denmark","2013","2013",1.2093341,,
"STC","State control","DNK","Denmark","1998","1998",2.315362,,
"STC","State control","DNK","Denmark","2003","2003",1.8333026,,
"STC","State control","DNK","Denmark","2008","2008",1.9785712,,
"STC","State control","DNK","Denmark","2013","2013",1.9190407,,
"BTE","Barriers to entrepreneurship","DNK","Denmark","1998","1998",2.4460683,,
"BTE","Barriers to entrepreneurship","DNK","Denmark","2003","2003",2.1249981,,
"BTE","Barriers to entrepreneurship","DNK","Denmark","2008","2008",1.5531912,,
"BTE","Barriers to entrepreneurship","DNK","Denmark","2013","2013",1.2595639,,
"BTI","Barriers to trade and investment","DNK","Denmark","1998","1998",0.22576135,,
"BTI","Barriers to trade and investment","DNK","Denmark","2003","2003",0.47576135,,
"BTI","Barriers to trade and investment","DNK","Denmark","2008","2008",0.47576135,,
"BTI","Barriers to trade and investment","DNK","Denmark","2013","2013",0.44939774,,
"PMR","Product market regulation","FIN","Finland","1998","1998",1.9352465,,
"PMR","Product market regulation","FIN","Finland","2003","2003",1.4942201,,
"PMR","Product market regulation","FIN","Finland","2008","2008",1.3431118,,
"PMR","Product market regulation","FIN","Finland","2013","2013",1.2934831,,
"STC","State control","FIN","Finland","1998","1998",2.7476711,,
"STC","State control","FIN","Finland","2003","2003",2.2599952,,
"STC","State control","FIN","Finland","2008","2008",2.1791396,,
"STC","State control","FIN","Finland","2013","2013",2.1329598,,
"BTE","Barriers to entrepreneurship","FIN","Finland","1998","1998",2.3590763,,
"BTE","Barriers to entrepreneurship","FIN","Finland","2003","2003",1.7736732,,
"BTE","Barriers to entrepreneurship","FIN","Finland","2008","2008",1.5843858,,
"BTE","Barriers to entrepreneurship","FIN","Finland","2013","2013",1.5459635,,
"BTI","Barriers to trade and investment","FIN","Finland","1998","1998",0.69899189,,
"BTI","Barriers to trade and investment","FIN","Finland","2003","2003",0.44899186,,
"BTI","Barriers to trade and investment","FIN","Finland","2008","2008",0.26581007,,
"BTI","Barriers to trade and investment","FIN","Finland","2013","2013",0.20152599,,
"PMR","Product market regulation","FRA","France","1998","1998",2.3771219,,
"PMR","Product market regulation","FRA","France","2003","2003",1.7748411,,
"PMR","Product market regulation","FRA","France","2008","2008",1.5173689,,
"PMR","Product market regulation","FRA","France","2013","2013",1.4680316,,
"STC","State control","FRA","France","1998","1998",3.4117589,,
"STC","State control","FRA","France","2003","2003",2.8273253,,
"STC","State control","FRA","France","2008","2008",2.4145327,,
"STC","State control","FRA","France","2013","2013",2.3709273,,
"BTE","Barriers to entrepreneurship","FRA","France","1998","1998",3.1779451,,
"BTE","Barriers to entrepreneurship","FRA","France","2003","2003",2.0930364,,
"BTE","Barriers to entrepreneurship","FRA","France","2008","2008",1.7362537,,
"BTE","Barriers to entrepreneurship","FRA","France","2013","2013",1.6842064,,
"BTI","Barriers to trade and investment","FRA","France","1998","1998",0.54166138,,
"BTI","Barriers to trade and investment","FRA","France","2003","2003",0.40416136,,
"BTI","Barriers to trade and investment","FRA","France","2008","2008",0.40132046,,
"BTI","Barriers to trade and investment","FRA","France","2013","2013",0.34896106,,
"PMR","Product market regulation","DEU","Germany","1998","1998",2.2253375,,
"PMR","Product market regulation","DEU","Germany","2003","2003",1.8005902,,
"PMR","Product market regulation","DEU","Germany","2008","2008",1.4032711,,
"PMR","Product market regulation","DEU","Germany","2013","2013",1.2848933,,
"STC","State control","DEU","Germany","1998","1998",2.5713673,,
"STC","State control","DEU","Germany","2003","2003",2.1458712,,
"STC","State control","DEU","Germany","2008","2008",1.9781101,,
"STC","State control","DEU","Germany","2013","2013",1.8418651,,
"BTE","Barriers to entrepreneurship","DEU","Germany","1998","1998",2.9476626,,
"BTE","Barriers to entrepreneurship","DEU","Germany","2003","2003",2.4114163,,
"BTE","Barriers to entrepreneurship","DEU","Germany","2008","2008",1.8872204,,
"BTE","Barriers to entrepreneurship","DEU","Germany","2013","2013",1.65265,,
"BTI","Barriers to trade and investment","DEU","Germany","1998","1998",1.1569829,,
"BTI","Barriers to trade and investment","DEU","Germany","2003","2003",0.84448296,,
"BTI","Barriers to trade and investment","DEU","Germany","2008","2008",0.34448296,,
"BTI","Barriers to trade and investment","DEU","Germany","2013","2013",0.36016476,,
"PMR","Product market regulation","GRC","Greece","1998","1998",2.7513704,,
"PMR","Product market regulation","GRC","Greece","2003","2003",2.5068684,,
"PMR","Product market regulation","GRC","Greece","2008","2008",2.2142985,,
"PMR","Product market regulation","GRC","Greece","2013","2013",1.740815,,
"STC","State control","GRC","Greece","1998","1998",4.2409129,,
"STC","State control","GRC","Greece","2003","2003",3.8082786,,
"STC","State control","GRC","Greece","2008","2008",3.3257184,,
"STC","State control","GRC","Greece","2013","2013",2.8165877,,
"BTE","Barriers to entrepreneurship","GRC","Greece","1998","1998",3.0557857,,
"BTE","Barriers to entrepreneurship","GRC","Greece","2003","2003",2.8924139,,
"BTE","Barriers to entrepreneurship","GRC","Greece","2008","2008",2.5269234,,
"BTE","Barriers to entrepreneurship","GRC","Greece","2013","2013",1.9128858,,
"BTI","Barriers to trade and investment","GRC","Greece","1998","1998",0.9574129,,
"BTI","Barriers to trade and investment","GRC","Greece","2003","2003",0.81991291,,
"BTI","Barriers to trade and investment","GRC","Greece","2008","2008",0.79025376,,
"BTI","Barriers to trade and investment","GRC","Greece","2013","2013",0.4929716,,
"PMR","Product market regulation","HUN","Hungary","1998","1998",2.6643827,,
"PMR","Product market regulation","HUN","Hungary","2003","2003",2.1115263,,
"PMR","Product market regulation","HUN","Hungary","2008","2008",1.5390544,,
"PMR","Product market regulation","HUN","Hungary","2013","2013",1.3271956,,
"STC","State control","HUN","Hungary","1998","1998",3.4020095,,
"STC","State control","HUN","Hungary","2003","2003",2.470068,,
"STC","State control","HUN","Hungary","2008","2008",2.0313101,,
"STC","State control","HUN","Hungary","2013","2013",2.0494869,,
"BTE","Barriers to entrepreneurship","HUN","Hungary","1998","1998",2.80879,,
"BTE","Barriers to entrepreneurship","HUN","Hungary","2003","2003",2.295861,,
"BTE","Barriers to entrepreneurship","HUN","Hungary","2008","2008",2.2047036,,
"BTE","Barriers to entrepreneurship","HUN","Hungary","2013","2013",1.6914808,,
"BTI","Barriers to trade and investment","HUN","Hungary","1998","1998",1.7823485,,
"BTI","Barriers to trade and investment","HUN","Hungary","2003","2003",1.5686496,,
"BTI","Barriers to trade and investment","HUN","Hungary","2008","2008",0.38114962,,
"BTI","Barriers to trade and investment","HUN","Hungary","2013","2013",0.24061933,,
"PMR","Product market regulation","ISL","Iceland","1998","1998",2.0335515,,
"PMR","Product market regulation","ISL","Iceland","2003","2003",1.6180077,,
"PMR","Product market regulation","ISL","Iceland","2008","2008",1.481619,,
"PMR","Product market regulation","ISL","Iceland","2013","2013",1.4972795,,
"STC","State control","ISL","Iceland","1998","1998",2.5986662,,
"STC","State control","ISL","Iceland","2003","2003",1.9277139,,
"STC","State control","ISL","Iceland","2008","2008",1.8387318,,
"STC","State control","ISL","Iceland","2013","2013",1.9684445,,
"BTE","Barriers to entrepreneurship","ISL","Iceland","1998","1998",2.8197587,,
"BTE","Barriers to entrepreneurship","ISL","Iceland","2003","2003",2.1815796,,
"BTE","Barriers to entrepreneurship","ISL","Iceland","2008","2008",2.1738956,,
"BTE","Barriers to entrepreneurship","ISL","Iceland","2013","2013",2.0699589,,
"BTI","Barriers to trade and investment","ISL","Iceland","1998","1998",0.6822297,,
"BTI","Barriers to trade and investment","ISL","Iceland","2003","2003",0.7447297,,
"BTI","Barriers to trade and investment","ISL","Iceland","2008","2008",0.4322297,,
"BTI","Barriers to trade and investment","ISL","Iceland","2013","2013",0.45343506,,
"PMR","Product market regulation","IRL","Ireland","1998","1998",1.8572642,,
"PMR","Product market regulation","IRL","Ireland","2003","2003",1.5832975,,
"PMR","Product market regulation","IRL","Ireland","2008","2008",1.3504734,,
"PMR","Product market regulation","IRL","Ireland","2013","2013",1.4542758,,
"STC","State control","IRL","Ireland","1998","1998",2.9985859,,
"STC","State control","IRL","Ireland","2003","2003",2.5049686,,
"STC","State control","IRL","Ireland","2008","2008",1.8368714,,
"STC","State control","IRL","Ireland","2013","2013",2.1243005,,
"BTE","Barriers to entrepreneurship","IRL","Ireland","1998","1998",2.3472531,,
"BTE","Barriers to entrepreneurship","IRL","Ireland","2003","2003",2.0189705,,
"BTE","Barriers to entrepreneurship","IRL","Ireland","2008","2008",1.9885952,,
"BTE","Barriers to entrepreneurship","IRL","Ireland","2013","2013",1.9767658,,
"BTI","Barriers to trade and investment","IRL","Ireland","1998","1998",0.22595346,,
"BTI","Barriers to trade and investment","IRL","Ireland","2003","2003",0.22595346,,
"BTI","Barriers to trade and investment","IRL","Ireland","2008","2008",0.22595346,,
"BTI","Barriers to trade and investment","IRL","Ireland","2013","2013",0.26176137,,
"PMR","Product market regulation","ITA","Italy","1998","1998",2.3590696,,
"PMR","Product market regulation","ITA","Italy","2003","2003",1.8040661,,
"PMR","Product market regulation","ITA","Italy","2008","2008",1.5139464,,
"PMR","Product market regulation","ITA","Italy","2013","2013",1.2891349,,
"STC","State control","ITA","Italy","1998","1998",3.8182473,,
"STC","State control","ITA","Italy","2003","2003",3.1501875,,
"STC","State control","ITA","Italy","2008","2008",2.6582141,,
"STC","State control","ITA","Italy","2013","2013",2.2199702,,
"BTE","Barriers to entrepreneurship","ITA","Italy","1998","1998",2.6067445,,
"BTE","Barriers to entrepreneurship","ITA","Italy","2003","2003",1.6722937,,
"BTE","Barriers to entrepreneurship","ITA","Italy","2008","2008",1.3001579,,
"BTE","Barriers to entrepreneurship","ITA","Italy","2013","2013",1.2241389,,
"BTI","Barriers to trade and investment","ITA","Italy","1998","1998",0.65221709,,
"BTI","Barriers to trade and investment","ITA","Italy","2003","2003",0.58971709,,
"BTI","Barriers to trade and investment","ITA","Italy","2008","2008",0.58346713,,
"BTI","Barriers to trade and investment","ITA","Italy","2013","2013",0.42329547,,
"PMR","Product market regulation","JPN","Japan","1998","1998",2.1132407,,
"PMR","Product market regulation","JPN","Japan","2003","2003",1.3666785,,
"PMR","Product market regulation","JPN","Japan","2008","2008",1.431011,,
"PMR","Product market regulation","JPN","Japan","2013","2013",1.4118299,,
"STC","State control","JPN","Japan","1998","1998",1.8743045,,
"STC","State control","JPN","Japan","2003","2003",1.6555464,,
"STC","State control","JPN","Japan","2008","2008",1.9039646,,
"STC","State control","JPN","Japan","2013","2013",1.8537081,,
"BTE","Barriers to entrepreneurship","JPN","Japan","1998","1998",3.2219179,,
"BTE","Barriers to entrepreneurship","JPN","Japan","2003","2003",1.6922389,,
"BTE","Barriers to entrepreneurship","JPN","Japan","2008","2008",1.6473182,,
"BTE","Barriers to entrepreneurship","JPN","Japan","2013","2013",1.6719635,,
"BTI","Barriers to trade and investment","JPN","Japan","1998","1998",1.2435,,
"BTI","Barriers to trade and investment","JPN","Japan","2003","2003",0.75225002,,
"BTI","Barriers to trade and investment","JPN","Japan","2008","2008",0.74175,,
"BTI","Barriers to trade and investment","JPN","Japan","2013","2013",0.70981818,,
"PMR","Product market regulation","KOR","Korea","1998","1998",2.5577853,,
"PMR","Product market regulation","KOR","Korea","2003","2003",1.9534862,,
"PMR","Product market regulation","KOR","Korea","2008","2008",1.9432336,,
"PMR","Product market regulation","KOR","Korea","2013","2013",1.8780003,,
"STC","State control","KOR","Korea","1998","1998",2.6031113,,
"STC","State control","KOR","Korea","2003","2003",2.0955782,,
"STC","State control","KOR","Korea","2008","2008",2.438935,,
"STC","State control","KOR","Korea","2013","2013",2.4686151,,
"BTE","Barriers to entrepreneurship","KOR","Korea","1998","1998",2.628422,,
"BTE","Barriers to entrepreneurship","KOR","Korea","2003","2003",2.3989105,,
"BTE","Barriers to entrepreneurship","KOR","Korea","2008","2008",2.1583297,,
"BTE","Barriers to entrepreneurship","KOR","Korea","2013","2013",1.8680688,,
"BTI","Barriers to trade and investment","KOR","Korea","1998","1998",2.4418223,,
"BTI","Barriers to trade and investment","KOR","Korea","2003","2003",1.36597,,
"BTI","Barriers to trade and investment","KOR","Korea","2008","2008",1.2324359,,
"BTI","Barriers to trade and investment","KOR","Korea","2013","2013",1.2973168,,
"PMR","Product market regulation","LUX","Luxembourg","2003","2003",1.5975018,,
"PMR","Product market regulation","LUX","Luxembourg","2008","2008",1.436931,,
"PMR","Product market regulation","LUX","Luxembourg","2013","2013",1.4583222,,
"STC","State control","LUX","Luxembourg","2003","2003",2.6943362,,
"STC","State control","LUX","Luxembourg","2008","2008",2.3380041,,
"STC","State control","LUX","Luxembourg","2013","2013",2.4490461,,
"BTE","Barriers to entrepreneurship","LUX","Luxembourg","2003","2003",1.8735179,,
"BTE","Barriers to entrepreneurship","LUX","Luxembourg","2008","2008",1.7481376,,
"BTE","Barriers to entrepreneurship","LUX","Luxembourg","2013","2013",1.7142498,,
"BTI","Barriers to trade and investment","LUX","Luxembourg","1998","1998",0.28715122,,
"BTI","Barriers to trade and investment","LUX","Luxembourg","2003","2003",0.22465122,,
"BTI","Barriers to trade and investment","LUX","Luxembourg","2008","2008",0.22465122,,
"BTI","Barriers to trade and investment","LUX","Luxembourg","2013","2013",0.21167046,,
"PMR","Product market regulation","MEX","Mexico","1998","1998",2.7602222,,
"PMR","Product market regulation","MEX","Mexico","2003","2003",2.5043044,,
"PMR","Product market regulation","MEX","Mexico","2008","2008",2.0508671,,
"PMR","Product market regulation","MEX","Mexico","2013","2013",1.9062263,,
"STC","State control","MEX","Mexico","1998","1998",2.583895,,
"STC","State control","MEX","Mexico","2003","2003",2.2847023,,
"STC","State control","MEX","Mexico","2008","2008",2.11689,,
"STC","State control","MEX","Mexico","2013","2013",2.0166087,,
"BTE","Barriers to entrepreneurship","MEX","Mexico","1998","1998",3.0617797,,
"BTE","Barriers to entrepreneurship","MEX","Mexico","2003","2003",2.5936961,,
"BTE","Barriers to entrepreneurship","MEX","Mexico","2008","2008",2.4525261,,
"BTE","Barriers to entrepreneurship","MEX","Mexico","2013","2013",2.1854842,,
"BTI","Barriers to trade and investment","MEX","Mexico","1998","1998",2.6349919,,
"BTI","Barriers to trade and investment","MEX","Mexico","2003","2003",2.6345148,,
"BTI","Barriers to trade and investment","MEX","Mexico","2008","2008",1.5831851,,
"BTI","Barriers to trade and investment","MEX","Mexico","2013","2013",1.5165861,,
"PMR","Product market regulation","NLD","Netherlands","1998","1998",1.8163078,,
"PMR","Product market regulation","NLD","Netherlands","2003","2003",1.4867096,,
"PMR","Product market regulation","NLD","Netherlands","2008","2008",0.96197134,,
"PMR","Product market regulation","NLD","Netherlands","2013","2013",0.91503167,,
"STC","State control","NLD","Netherlands","1998","1998",2.9651284,,
"STC","State control","NLD","Netherlands","2003","2003",2.2766023,,
"STC","State control","NLD","Netherlands","2008","2008",1.4395179,,
"STC","State control","NLD","Netherlands","2013","2013",1.4332321,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","1998","1998",2.2175746,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","2003","2003",1.9173061,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","2008","2008",1.3051759,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","2013","2013",1.1937436,,
"BTI","Barriers to trade and investment","NLD","Netherlands","1998","1998",0.2662203,,
"BTI","Barriers to trade and investment","NLD","Netherlands","2003","2003",0.2662203,,
"BTI","Barriers to trade and investment","NLD","Netherlands","2008","2008",0.14122029,,
"BTI","Barriers to trade and investment","NLD","Netherlands","2013","2013",0.11811931,,
"PMR","Product market regulation","NZL","New Zealand","1998","1998",1.4478482,,
"PMR","Product market regulation","NZL","New Zealand","2003","2003",1.2855355,,
"PMR","Product market regulation","NZL","New Zealand","2008","2008",1.2282597,,
"PMR","Product market regulation","NZL","New Zealand","2013","2013",1.2603095,,
"STC","State control","NZL","New Zealand","1998","1998",1.1793106,,
"STC","State control","NZL","New Zealand","2003","2003",1.5545529,,
"STC","State control","NZL","New Zealand","2008","2008",1.9283354,,
"STC","State control","NZL","New Zealand","2013","2013",2.061861,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","1998","1998",2.0620425,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","2003","2003",1.6373619,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","2008","2008",1.0917521,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","2013","2013",1.1848905,,
"BTI","Barriers to trade and investment","NZL","New Zealand","1998","1998",1.1021916,,
"BTI","Barriers to trade and investment","NZL","New Zealand","2003","2003",0.66469157,,
"BTI","Barriers to trade and investment","NZL","New Zealand","2008","2008",0.66469157,,
"BTI","Barriers to trade and investment","NZL","New Zealand","2013","2013",0.53417683,,
"PMR","Product market regulation","NOR","Norway","1998","1998",1.8689063,,
"PMR","Product market regulation","NOR","Norway","2003","2003",1.556374,,
"PMR","Product market regulation","NOR","Norway","2008","2008",1.5383915,,
"PMR","Product market regulation","NOR","Norway","2013","2013",1.4623799,,
"STC","State control","NOR","Norway","1998","1998",2.809582,,
"STC","State control","NOR","Norway","2003","2003",2.1849089,,
"STC","State control","NOR","Norway","2008","2008",2.19507,,
"STC","State control","NOR","Norway","2013","2013",2.1297629,,
"BTE","Barriers to entrepreneurship","NOR","Norway","1998","1998",2.1934314,,
"BTE","Barriers to entrepreneurship","NOR","Norway","2003","2003",1.8805077,,
"BTE","Barriers to entrepreneurship","NOR","Norway","2008","2008",1.816399,,
"BTE","Barriers to entrepreneurship","NOR","Norway","2013","2013",1.6907456,,
"BTI","Barriers to trade and investment","NOR","Norway","1998","1998",0.60370535,,
"BTI","Barriers to trade and investment","NOR","Norway","2003","2003",0.60370535,,
"BTI","Barriers to trade and investment","NOR","Norway","2008","2008",0.60370535,,
"BTI","Barriers to trade and investment","NOR","Norway","2013","2013",0.5666315,,
"PMR","Product market regulation","POL","Poland","1998","1998",3.1902363,,
"PMR","Product market regulation","POL","Poland","2003","2003",2.4230654,,
"PMR","Product market regulation","POL","Poland","2008","2008",2.0442531,,
"PMR","Product market regulation","POL","Poland","2013","2013",1.6479105,,
"STC","State control","POL","Poland","1998","1998",2.974679,,
"STC","State control","POL","Poland","2003","2003",3.569165,,
"STC","State control","POL","Poland","2008","2008",3.3164487,,
"STC","State control","POL","Poland","2013","2013",3.0631847,,
"BTE","Barriers to entrepreneurship","POL","Poland","1998","1998",3.4479046,,
"BTE","Barriers to entrepreneurship","POL","Poland","2003","2003",3.1132698,,
"BTE","Barriers to entrepreneurship","POL","Poland","2008","2008",2.4902654,,
"BTE","Barriers to entrepreneurship","POL","Poland","2013","2013",1.6357514,,
"BTI","Barriers to trade and investment","POL","Poland","1998","1998",3.1481252,,
"BTI","Barriers to trade and investment","POL","Poland","2003","2003",0.58676136,,
"BTI","Barriers to trade and investment","POL","Poland","2008","2008",0.32604545,,
"BTI","Barriers to trade and investment","POL","Poland","2013","2013",0.24479546,,
"PMR","Product market regulation","PRT","Portugal","1998","1998",2.5889282,,
"PMR","Product market regulation","PRT","Portugal","2003","2003",2.1228745,,
"PMR","Product market regulation","PRT","Portugal","2008","2008",1.6915776,,
"PMR","Product market regulation","PRT","Portugal","2013","2013",1.2948341,,
"STC","State control","PRT","Portugal","1998","1998",4.0446529,,
"STC","State control","PRT","Portugal","2003","2003",3.4168065,,
"STC","State control","PRT","Portugal","2008","2008",2.8948812,,
"STC","State control","PRT","Portugal","2013","2013",2.1832292,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","1998","1998",2.8155432,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","2003","2003",2.0452285,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","2008","2008",1.8277801,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","2013","2013",1.3492019,,
"BTI","Barriers to trade and investment","PRT","Portugal","1998","1998",0.90658849,,
"BTI","Barriers to trade and investment","PRT","Portugal","2003","2003",0.90658849,,
"BTI","Barriers to trade and investment","PRT","Portugal","2008","2008",0.35207143,,
"BTI","Barriers to trade and investment","PRT","Portugal","2013","2013",0.35207143,,
"PMR","Product market regulation","SVK","Slovak Republic","2003","2003",2.1753342,,
"PMR","Product market regulation","SVK","Slovak Republic","2008","2008",1.6203208,,
"PMR","Product market regulation","SVK","Slovak Republic","2013","2013",1.2876289,,
"STC","State control","SVK","Slovak Republic","2003","2003",3.0676188,,
"STC","State control","SVK","Slovak Republic","2008","2008",2.3554614,,
"STC","State control","SVK","Slovak Republic","2013","2013",2.1656051,,
"BTE","Barriers to entrepreneurship","SVK","Slovak Republic","2003","2003",2.1535542,,
"BTE","Barriers to entrepreneurship","SVK","Slovak Republic","2008","2008",1.7381487,,
"BTE","Barriers to entrepreneurship","SVK","Slovak Republic","2013","2013",1.1486793,,
"BTI","Barriers to trade and investment","SVK","Slovak Republic","2003","2003",1.3048296,,
"BTI","Barriers to trade and investment","SVK","Slovak Republic","2008","2008",0.76735228,,
"BTI","Barriers to trade and investment","SVK","Slovak Republic","2013","2013",0.54860228,,
"PMR","Product market regulation","ESP","Spain","1998","1998",2.3907137,,
"PMR","Product market regulation","ESP","Spain","2003","2003",1.79346,,
"PMR","Product market regulation","ESP","Spain","2008","2008",1.5946069,,
"PMR","Product market regulation","ESP","Spain","2013","2013",1.4419456,,
"STC","State control","ESP","Spain","1998","1998",3.6870742,,
"STC","State control","ESP","Spain","2003","2003",2.4938581,,
"STC","State control","ESP","Spain","2008","2008",2.1627815,,
"STC","State control","ESP","Spain","2013","2013",1.8570992,,
"BTE","Barriers to entrepreneurship","ESP","Spain","1998","1998",3.0646734,,
"BTE","Barriers to entrepreneurship","ESP","Spain","2003","2003",2.4661286,,
"BTE","Barriers to entrepreneurship","ESP","Spain","2008","2008",2.2006459,,
