"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","ISL","Iceland","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.0139767858036,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.340531561461812,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.488370168032427,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.939044481054394,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.22653316645809,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.13748763600394,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.61124694376529,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.467211747038227,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.979903670486633,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.476973684210518,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.94445590723392,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.4758624039637,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.382946132244065,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.73079959118898,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.52819524307371,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.74332075653843,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,6.04145582303512,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.89935096477274,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.63596121304385,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.38145871407212,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.70349794744471,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.63369910249595,,
"CPALTT01","Consumer prices: all items","NZL","New Zealand","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.85078707072019,,
"CPALTT01","Consumer prices: all items","NZL","New Zealand","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.59829794991808,,
"CPALTT01","Consumer prices: all items","NZL","New Zealand","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.61963190184049,,
"CPALTT01","Consumer prices: all items","NOR","Norway","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.87510059552551,,
"CPALTT01","Consumer prices: all items","NOR","Norway","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.76483134528795,,
"CPALTT01","Consumer prices: all items","NOR","Norway","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.16773003305403,,
"CPALTT01","Consumer prices: all items","POL","Poland","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.166666666666667,,
"CPALTT01","Consumer prices: all items","POL","Poland","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.10,,
"CPALTT01","Consumer prices: all items","POL","Poland","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.266666666666667,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.36861411643482,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.993715683468212,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.338178410046166,,
"CPALTT01","Consumer prices: all items","SVK","Slovak Republic","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.31194588223237,,
"CPALTT01","Consumer prices: all items","SVK","Slovak Republic","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.51403712883805,,
"CPALTT01","Consumer prices: all items","SVK","Slovak Republic","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.66456133425445,,
"CPALTT01","Consumer prices: all items","ESP","Spain","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.95608333333336,,
"CPALTT01","Consumer prices: all items","ESP","Spain","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.67506761489628,,
"CPALTT01","Consumer prices: all items","ESP","Spain","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.699536241717,,
"CPALTT01","Consumer prices: all items","SWE","Sweden","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.79449904665592,,
"CPALTT01","Consumer prices: all items","SWE","Sweden","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.95353530127027,,
"CPALTT01","Consumer prices: all items","SWE","Sweden","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.78415097403835,,
"CPALTT01","Consumer prices: all items","CHE","Switzerland","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.533795988132735,,
"CPALTT01","Consumer prices: all items","CHE","Switzerland","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.936313303085734,,
"CPALTT01","Consumer prices: all items","CHE","Switzerland","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.362916004520371,,
"CPALTT01","Consumer prices: all items","TUR","Turkey","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,11.1443110840764,,
"CPALTT01","Consumer prices: all items","TUR","Turkey","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,16.3324638988928,,
"CPALTT01","Consumer prices: all items","TUR","Turkey","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,15.1768215720023,,
"CPALTT01","Consumer prices: all items","GBR","United Kingdom","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.57425742574258,,
"CPALTT01","Consumer prices: all items","GBR","United Kingdom","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.31660231660232,,
"CPALTT01","Consumer prices: all items","GBR","United Kingdom","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.69811320754717,,
"CPALTT01","Consumer prices: all items","USA","United States","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.13011000365961,,
"CPALTT01","Consumer prices: all items","USA","United States","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.44258329692821,,
"CPALTT01","Consumer prices: all items","USA","United States","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.81221007526011,,
"CPALTT01","Consumer prices: all items","ARG","Argentina","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,34.2772237131004,,
"CPALTT01","Consumer prices: all items","ARG","Argentina","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,53.5483043492339,,
"CPALTT01","Consumer prices: all items","BRA","Brazil","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.44637335032675,,
"CPALTT01","Consumer prices: all items","BRA","Brazil","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.66485028376722,,
"CPALTT01","Consumer prices: all items","BRA","Brazil","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.73297621216894,,
"CPALTT01","Consumer prices: all items","CHL","Chile","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.18271846868521,,
"CPALTT01","Consumer prices: all items","CHL","Chile","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.43488981353058,,
"CPALTT01","Consumer prices: all items","CHL","Chile","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.55754475703327,,
"CPALTT01","Consumer prices: all items","CHN","China (People's Republic of)","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.59313725490195,,
"CPALTT01","Consumer prices: all items","CHN","China (People's Republic of)","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.07478890229188,,
"CPALTT01","Consumer prices: all items","CHN","China (People's Republic of)","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.89923579925947,,
"CPALTT01","Consumer prices: all items","EST","Estonia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.41723549488054,,
"CPALTT01","Consumer prices: all items","EST","Estonia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.43632688420444,,
"CPALTT01","Consumer prices: all items","EST","Estonia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.27725931243521,,
"CPALTT01","Consumer prices: all items","IND","India","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.49088699878493,,
"CPALTT01","Consumer prices: all items","IND","India","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.8606994665086,,
"CPALTT01","Consumer prices: all items","IND","India","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,7.65969474279258,,
"CPALTT01","Consumer prices: all items","IDN","Indonesia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.80879806953161,,
"CPALTT01","Consumer prices: all items","IDN","Indonesia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.19834641562409,,
"CPALTT01","Consumer prices: all items","IDN","Indonesia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.03058664969485,,
"CPALTT01","Consumer prices: all items","ISR","Israel","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.244210526315774,,
"CPALTT01","Consumer prices: all items","ISR","Israel","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.814852150537645,,
"CPALTT01","Consumer prices: all items","ISR","Israel","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.841596533622183,,
"CPALTT01","Consumer prices: all items","RUS","Russia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.68333439177854,,
"CPALTT01","Consumer prices: all items","RUS","Russia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.87830537718886,,
"CPALTT01","Consumer prices: all items","RUS","Russia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,4.47036720560139,,
"CPALTT01","Consumer prices: all items","SAU","Saudi Arabia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.838194579675049,,
"CPALTT01","Consumer prices: all items","SAU","Saudi Arabia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.45814158007529,,
"CPALTT01","Consumer prices: all items","SAU","Saudi Arabia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-2.09333333333332,,
"CPALTT01","Consumer prices: all items","SVN","Slovenia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.42910743319296,,
"CPALTT01","Consumer prices: all items","SVN","Slovenia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.73860861988181,,
"CPALTT01","Consumer prices: all items","SVN","Slovenia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.63052260754335,,
"CPALTT01","Consumer prices: all items","ZAF","South Africa","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.18108223263738,,
"CPALTT01","Consumer prices: all items","ZAF","South Africa","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.50457749331605,,
"CPALTT01","Consumer prices: all items","ZAF","South Africa","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,4.12435072486241,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.454545454545445,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,0.180995475113122,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.632339656729911,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.628366247755825,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.446030330062435,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.355239786856148,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.442477876106185,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.528634361233481,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.613496932515328,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.522648083623713,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.693240901213172,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.344234079173819,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.425950196592373,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,0.717781402936408,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.0647878198898536,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.971188086759491,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.0320615581917032,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.865384615384627,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.254210359072125,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.950871632329615,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,-0.345368916797471,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.819155639571512,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,-0.0312499999999966,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.875273522975917,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.247908273938657,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,1.1505365947984,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,0.340916332122624,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.174641983932917,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.389882084442767,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.612547756622741,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.618233171190991,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.614434533092142,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.75017824483088,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.163071905479831,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.359402838360885,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,-0.113250283125716,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.131764417478736,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.661015393089922,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.777000777000795,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,0.565407350295561,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.102223358037295,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.331886647944873,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,1.04325699745546,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.805842357088894,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.474644016987263,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,-0.298359025360512,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.623441396508739,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.33828996282526,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.269014428955749,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,-0.146341463414642,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.341963849535903,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,1.3838550247117,,
