# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿ref_area.label,indicator.label,source.label,time,cbc_value
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2016,47.1
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2000,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2001,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2002,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2003,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2004,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2005,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2006,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2007,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2008,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2009,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2010,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2011,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2012,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2013,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2014,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2015,98
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2016,98
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2000,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2001,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2002,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2003,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2004,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2005,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2006,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2007,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2008,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2009,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2010,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2011,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2012,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2013,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2014,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2015,96
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2016,96
Bangladesh,Collective bargaining coverage rate (%),BGD - ADM - Administrative records,2006,5
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2011,10.6
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2012,12.8
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2013,12.5
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2014,12.2
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2015,11.6
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2016,10.8
Bosnia and Herzegovina,Collective bargaining coverage rate (%),BIH - OS - Estimations based on administrative data,2012,50
Belize,Collective bargaining coverage rate (%),BLZ - ADM - National Trade Union Congress,2011,9.5
Belize,Collective bargaining coverage rate (%),BLZ - ADM - National Trade Union Congress,2012,9.1
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2009,58.8
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2011,63.1
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2012,63.8
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2013,65.7
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2014,70.5
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2000,32.3
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2001,32.3
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2002,32.2
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2003,32.2
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2004,31.7
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2005,32
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2006,31.7
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2007,31.6
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2008,31.2
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2009,31.5
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2010,31.4
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2011,31
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2012,31.3
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2013,31.1
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2014,30.4
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2015,30.6
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2016,30.3
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2001,39.9
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2003,41.7
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2005,44.6
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2007,44.7
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2009,44.7
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2010,47.2
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2012,49.7
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2013,49.4
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2014,49.2
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2009,26.6
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2010,25
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2011,15.6
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2012,16.6
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2013,17.3
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2014,18.1
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2015,17.6
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2016,17.9
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2000,18.1
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2006,16.1
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2008,22.3
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2009,23.4
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2010,26.7
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2011,32.6
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2012,39.3
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2013,40.6
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2008,0.8
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2009,1.1
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2010,0.7
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2011,1
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2012,0.9
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2013,10.7
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2014,12.3
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2015,14.5
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2016,15.7
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2011,4.6
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2012,4.2
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2013,9.5
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2014,9.3
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2015,9.3
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2016,10.6
Cuba,Collective bargaining coverage rate (%),CUB - ADM-RWO - Registros de la Central de Trabajadores de Cuba,2008,81.4
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2000,65.1
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2001,62.1
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2002,63.2
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2003,64
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2004,62.7
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2005,59.8
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2006,58.1
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2007,54.6
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2008,52.9
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2009,52.4
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2010,50
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2011,48.6
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2012,48.5
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2013,48.6
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2014,47.7
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2000,48
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2001,38.3
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2002,43
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2003,46
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2004,43.4
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2005,41.6
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2006,50.1
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2007,50.2
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2008,49.6
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2009,44.3
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2010,51.1
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2011,49.2
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2012,49.7
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2013,48.9
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2014,45.4
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2015,46.3
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2000,67.8
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2001,68.8
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2002,67.8
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2003,67.6
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2004,65.8
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2005,64.9
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2006,63.4
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2007,61.7
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2008,61.4
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2009,61.7
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2010,59.8
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2011,58.9
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2012,58.3
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2013,57.6
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2014,57.8
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2015,56.8
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2016,56
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2000,85
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2004,85
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2006,84
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2007,81
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2009,82
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2010,83
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2013,84
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2014,83.5
Denmark,Collective bargaining coverage rate (%),DNK - ADM-REO - Records of the Danish employers' federation,2015,84
Egypt,Collective bargaining coverage rate (%),EGY - ADM - Records of General Department of Collective Bargaining,2008,3.5
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2000,82.9
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2001,81.5
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2002,79
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2003,77.7
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2004,76.1
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2005,76
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2006,75.4
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2007,76
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2008,78.9
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2009,80.9
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2010,76.9
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2011,77
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2012,77
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2013,81.1
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2014,80.2
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2015,76.9
Spain,Collective bargaining coverage rate (%),ESP - ADM-CA - Convenios Colectivos de Trabajo,2016,73.1
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2001,28
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2003,28
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2004,28
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2007,25
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2009,24
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2011,22.9
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2012,23
Estonia,Collective bargaining coverage rate (%),EST - OS - Estimations based on Working Life Survey and administrative data for small firms,2015,18.6
Ethiopia,Collective bargaining coverage rate (%),ETH - ADM - Administrative records and related sources,2013,9.8
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2000,85
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2002,91
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2003,91
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2004,91
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2005,87.7
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2006,87.7
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2008,87.5
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2009,78.4
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2010,77.8
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2011,90
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2012,89.7
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2013,93
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2014,89.3
Finland,Collective bargaining coverage rate (%),FIN - ADM - Records of the Ministry of Social Affairs and Health,2015,89.3
France,Collective bargaining coverage rate (%),"FRA - ADM - Fichiers de la Direction de l'animation de la recherche, des études et des statistiques",2004,96.1
France,Collective bargaining coverage rate (%),"FRA - ADM - Fichiers de la Direction de l'animation de la recherche, des études et des statistiques",2008,98
France,Collective bargaining coverage rate (%),"FRA - ADM - Fichiers de la Direction de l'animation de la recherche, des études et des statistiques",2009,98
France,Collective bargaining coverage rate (%),"FRA - ADM - Fichiers de la Direction de l'animation de la recherche, des études et des statistiques",2012,98
France,Collective bargaining coverage rate (%),"FRA - ADM - Fichiers de la Direction de l'animation de la recherche, des études et des statistiques",2014,98.5
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2000,36.4
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2001,35.5
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2002,35.2
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2003,35.5
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2004,34.7
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2005,34.9
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2006,33.3
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2007,34.6
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2008,33.6
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2009,32.7
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2010,30.9
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2011,31.2
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2012,29.3
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2013,29.5
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2014,27.5
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2015,27.9
United Kingdom,Collective bargaining coverage rate (%),GBR - LFS - Labour Force Survey,2016,26.3
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2008,20.1
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2009,19.6
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2010,18.9
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2011,18.1
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2012,17.4
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2013,16.6
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2014,15.9
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2015,15.3
Ghana,Collective bargaining coverage rate (%),GHA - OE - Estimates based on various sources,2016,14.7
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2006,82.2
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2007,82.9
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2008,83.9
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2009,83.8
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2010,65.1
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2011,61.2
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2012,51.6
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2013,42.3
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2014,15
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2015,16.7
Greece,Collective bargaining coverage rate (%),GRC - Other - Special data collection,2016,17.8
